,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
23872,2019,01,005224,061,11,01,020801,2.0,4.0,20160052240611101,1.0,1.0,1.0,1.0,2.0,,1.0,36.0,,1.0
23873,2019,11,006120,129,11,01,070101,8.0,1.0,20170061201291101,1.0,1.0,1.0,1.0,2.0,,2.0,77.0,,3.0
23874,2019,03,009739,115,11,01,250303,7.0,7.0,20190097391151101,1.0,1.0,1.0,1.0,2.0,,2.0,59.0,,1.0
23875,2019,03,005586,048,11,02,040606,6.0,5.0,20190055860481102,3.0,1.0,3.0,1.0,2.0,,1.0,22.0,,6.0
23877,2019,11,005802,046,11,01,050202,5.0,7.0,20190058020461101,1.0,1.0,1.0,1.0,2.0,,1.0,35.0,,2.0
23878,2019,06,006820,056,11,03,110109,2.0,5.0,20190068200561103,3.0,2.0,1.0,1.0,2.0,,2.0,16.0,,6.0
23879,2019,06,006594,086,11,02,100507,5.0,7.0,20150065940861102,2.0,1.0,2.0,1.0,2.0,,2.0,39.0,,1.0
23881,2019,03,007531,085,11,01,150135,8.0,1.0,20160075310851101,1.0,0.0,1.0,1.0,2.0,,2.0,56.0,,6.0
23882,2019,10,007526,006,11,01,150135,8.0,1.0,20150075260061101,1.0,1.0,1.0,1.0,2.0,,1.0,55.0,,1.0
23884,2019,06,005772,008,11,03,050404,5.0,6.0,20180057720081103,3.0,1.0,3.0,1.0,2.0,,1.0,17.0,,6.0
23885,2019,12,005167,045,11,01,010611,7.0,7.0,20150051670451101,1.0,1.0,1.0,1.0,2.0,,1.0,58.0,,2.0
23886,2019,12,005613,174,11,02,040128,6.0,5.0,20170056131741102,2.0,1.0,2.0,1.0,2.0,,2.0,42.0,,1.0
23887,2019,05,009759,112,11,08,250103,7.0,8.0,20170097591121101,0.0,,,,,,,,,
23888,2019,01,005283,008,11,05,021909,5.0,7.0,20190052830081105,6.0,0.0,1.0,1.0,2.0,,2.0,86.0,,3.0
23890,2019,06,007161,078,11,01,130103,1.0,1.0,20190071610781101,1.0,1.0,1.0,1.0,2.0,,1.0,65.0,,2.0
23892,2019,04,010129,037,11,03,110501,2.0,3.0,20190101290371103,3.0,1.0,3.0,1.0,2.0,,2.0,12.0,,6.0
23894,2019,07,010287,090,11,04,160104,7.0,7.0,20190102870901104,3.0,1.0,3.0,1.0,2.0,,2.0,16.0,,6.0
23895,2019,11,010258,069,11,02,150604,2.0,5.0,20160102580691102,2.0,1.0,2.0,1.0,2.0,,2.0,60.0,,2.0
23898,2019,11,005506,067,11,01,040103,6.0,1.0,20190055060671101,1.0,1.0,1.0,1.0,2.0,,1.0,44.0,,1.0
23899,2019,10,007290,016,11,03,140101,1.0,2.0,20190072900161103,3.0,1.0,3.0,1.0,2.0,,1.0,13.0,,6.0
23900,2019,01,008170,064,11,03,150512,2.0,8.0,20190081700641103,3.0,1.0,3.0,1.0,2.0,,1.0,16.0,,6.0
23901,2019,09,008524,043,11,04,180106,6.0,5.0,20180085240431104,3.0,1.0,3.0,1.0,2.0,,1.0,7.0,,
23902,2019,01,007371,172,11,08,140301,1.0,4.0,20190073711721108,3.0,3.0,1.0,1.0,2.0,,1.0,26.0,,1.0
23903,2019,11,006123,027,11,01,070101,8.0,1.0,20190061230271101,1.0,0.0,1.0,1.0,2.0,,1.0,56.0,,6.0
23904,2019,08,005993,051,11,03,060105,4.0,7.0,20190059930511103,3.0,1.0,3.0,1.0,2.0,,2.0,15.0,,6.0
23906,2019,07,006082,015,11,02,070106,8.0,1.0,20190060820151102,2.0,1.0,2.0,1.0,2.0,,2.0,35.0,,1.0
23909,2019,09,005310,029,11,03,020111,5.0,7.0,20180053100291103,3.0,1.0,3.0,1.0,2.0,,1.0,23.0,,6.0
23911,2019,05,005241,113,11,02,021103,2.0,8.0,20160052411131102,2.0,1.0,2.0,1.0,2.0,,2.0,31.0,,1.0
23913,2019,04,005423,041,11,01,030214,6.0,6.0,20190054230411101,1.0,1.0,1.0,1.0,2.0,,1.0,37.0,,1.0
23914,2019,12,010366,115,11,07,221005,7.0,8.0,20180103661151107,10.0,0.0,1.0,1.0,2.0,,1.0,51.0,,6.0
23917,2019,03,005727,023,11,04,050401,5.0,4.0,20190057270231104,3.0,1.0,3.0,1.0,2.0,,2.0,16.0,,6.0
23923,2019,01,009617,094,11,04,250105,7.0,2.0,20190096170941104,3.0,1.0,3.0,1.0,2.0,,2.0,8.0,,
23929,2019,06,005078,102,11,01,010401,7.0,7.0,20190050781021101,1.0,0.0,1.0,1.0,2.0,,2.0,68.0,,5.0
23931,2019,04,005981,150,11,04,061103,4.0,7.0,20190059811501104,3.0,1.0,3.0,1.0,2.0,,1.0,5.0,,
23933,2019,01,005757,036,11,05,050601,5.0,5.0,20160057570361105,3.0,1.0,3.0,1.0,2.0,,1.0,12.0,,6.0
23934,2019,02,005699,080,11,04,050101,5.0,2.0,20180056990801104,3.0,1.0,3.0,1.0,2.0,,1.0,10.0,,
23935,2019,03,010050,021,11,03,040115,6.0,6.0,20190100500211103,11.0,0.0,1.0,1.0,2.0,,1.0,21.0,,6.0
23937,2019,11,006107,176,11,02,070101,8.0,1.0,20190061071761102,2.0,1.0,2.0,1.0,2.0,,2.0,34.0,,1.0
23939,2019,09,005102,075,11,05,010701,7.0,7.0,20180051020751103,0.0,,,,,,,,,
23944,2019,09,010589,060,11,01,110503,2.0,5.0,20190105890601101,1.0,1.0,1.0,1.0,2.0,,1.0,73.0,,2.0
23946,2019,06,006015,194,11,02,061001,4.0,7.0,20190060151941102,2.0,1.0,2.0,1.0,2.0,,2.0,53.0,,1.0
23947,2019,06,006955,020,11,03,120305,7.0,5.0,20180069550201103,6.0,0.0,1.0,1.0,2.0,,2.0,65.0,,6.0
